Token,Length,Frequency
eta,3,92
eskubidea,9,34
du,2,26
atala,5,26
edo,3,21
orok,4,17
Pertsona,8,17
da,2,14
izateko,7,13
ere,3,12
ez,2,11
dute,4,10
bai,3,9
eskubide,8,9
gabe,4,9
izanik,6,8
izango,6,8
askatasuna,10,8
nahiz,5,7
giza,4,7
bere,4,7
Kontuan,7,7
dela,4,6
aske,4,6
oinarrizko,10,5
baita,5,5
kide,4,5
egiteko,7,5
ezingo,6,5
gero,4,5
norbere,7,5
ezta,4,5
Nazio,5,4
aurka,5,4
izatekoa,8,4
den,3,4
aldian,6,4
diren,5,4
zaio,4,4
beste,5,4
babesa,6,4
alde,4,4
herrialdeko,11,4
guztiek,7,4
eskubideak,10,4
gizarte,7,4
gizakiaren,10,4
jasotzeko,9,4
aurkako,7,4
gizartearen,11,3
inor,4,3
hartzeko,8,3
dira,4,3
dago,4,3
hitz,4,3
gizon,5,3
izan,4,3
legez,5,3
nazioarteko,11,3
Inor,4,3
herritartasuna,14,3
parte,5,3
aldatzeko,9,3
dutela,6,3
bidez,5,3
artean,6,3
gizarteko,9,3
Estatu,6,3
Aldarrikapen,12,3
egingo,6,3
baten,5,3
lan,3,3
arraza,6,3
arrazoirik,10,3
direla,6,3
Batuen,6,3
erlijioa,8,3
guztiak,7,3
berbera,7,3
hori,4,3
erlijio,7,3
jo,2,3
edozein,7,3
horien,6,2
inori,5,2
ezinbestekoa,12,2
mailan,6,2
emakumeek,9,2
GIZA,4,2
pertsona,8,2
delitu,6,2
dituzten,8,2
batez,5,2
bera,4,2
Nornahik,8,2
honetan,7,2
herrialde,9,2
aukeratzekoa,12,2
sinesmena,9,2
guztien,7,2
nortasuna,9,2
duintasun,9,2
askatasun,9,2
Gizon,5,2
mugarik,7,2
bizitza,7,2
babes,5,2
boto,4,2
eraginkorra,11,2
emakume,7,2
familia,7,2
Ez,2,2
inoren,6,2
ikasketak,9,2
besteren,8,2
eraso,5,2
dagozkio,8,2
dezaten,7,2
nazio,5,2
denek,5,2
bakoitzaren,11,2
diezaioten,10,2
eman,4,2
ALDARRIKAPEN,12,2
hausten,7,2
jendaurrean,11,2
askatasunen,11,2
laguntza,8,2
pribatuan,9,2
arabera,7,2
maila,5,2
berdin,6,2
ekonomi,7,2
arteko,6,2
horren,6,2
bizitzeko,9,2
arian,5,2
eskubideen,10,2
orori,5,2
ESKUBIDEEN,10,2
legezko,7,2
bereizkeriarik,14,2
aski,4,2
helburu,7,2
auzitegi,8,2
duen,4,2
barne,5,2
ziurtatzeko,11,2
bada,4,2
orokorra,8,2
berberak,8,2
bakarka,7,2
inolako,7,2
taldean,7,2
hezkuntza,9,2
Eskubide,8,2
oinarrituta,11,1
zaizkio,7,1
tirania,7,1
bateko,6,1
babestea,8,1
irakaskuntzaz,13,1
irain,5,1
gaixotasuna,11,1
osoan,5,1
batek,5,1
UNIBERTSALA,11,1
jaiotza,7,1
irakaskuntzaren,15,1
adierazpidez,12,1
jarraituz,9,1
ukatu,5,1
sustatzeko,10,1
irtenbidea,10,1
gabean,6,1
bilatu,6,1
hartzen,7,1
politikari,10,1
indartzea,9,1
esklabuen,9,1
ezaguera,8,1
gizakia,7,1
irabazietan,11,1
fedea,5,1
Estatuaren,10,1
egitekoa,8,1
Gizaki,6,1
baliabideak,11,1
burujabetasun,13,1
bakean,6,1
jokatu,6,1
uzteak,6,1
kontzientziari,14,1
dagokion,8,1
zaien,5,1
legeek,6,1
dezan,5,1
senide,6,1
informazioa,11,1
batetik,7,1
jantziak,8,1
sartzeko,8,1
kenduko,7,1
hezkuntzaren,12,1
begiratuko,10,1
libre,5,1
ordezkarien,11,1
errespetua,10,1
egitea,6,1
lansaria,8,1
langabeziaren,13,1
politikako,10,1
erregimen,9,1
berdintasunean,14,1
elkarlanean,11,1
oro,3,1
jabe,4,1
legearen,8,1
saria,5,1
merezimenduen,13,1
lanbiderakoa,12,1
jatorria,8,1
errekurtso,10,1
medikusorospena,15,1
zigorra,7,1
bezala,6,1
janaria,7,1
Egintzak,8,1
nagusi,6,1
erlijioagatiko,14,1
atsedenerako,12,1
aginpidedunetan,15,1
pentsamendu,11,1
izandakoan,10,1
denerako,8,1
BATZAR,6,1
isilpeko,8,1
osasuna,7,1
norberetik,10,1
Amek,4,1
Ezin,4,1
ezagutzearen,12,1
publikoaren,11,1
jomuga,6,1
herrien,7,1
eskumenpean,11,1
osatuko,7,1
haurrek,7,1
oinarri,7,1
Edozein,7,1
eraginkorrean,13,1
etorrera,8,1
darizkion,9,1
norbanakoek,11,1
Delituagatik,12,1
arruntek,8,1
Gizabanako,10,1
Gurasoek,8,1
hizkuntza,9,1
berezkoa,8,1
Batuetako,9,1
dituztela,9,1
hitza,5,1
tratu,5,1
nonahi,6,1
aukera,6,1
bide,4,1
zerbitzuak,10,1
bat,3,1
burua,5,1
kontzientzia,12,1
daiteke,7,1
lurraldean,10,1
neurriak,8,1
zabaltzekoa,11,1
gozatzeko,9,1
bereizkeriaren,14,1
askatasunerako,14,1
aurkitu,7,1
lanaldiaren,11,1
elbarritasuna,13,1
jabegoa,7,1
bozketa,7,1
askatasunak,11,1
elkarren,8,1
alabei,6,1
artelanez,9,1
munduaren,9,1
sorterria,9,1
Kideek,6,1
berezko,7,1
bakea,5,1
ezkontadinetik,14,1
egintza,7,1
berdintasun,11,1
behar,5,1
handikoa,8,1
estatuetako,11,1
eritziengatik,13,1
kondenatu,9,1
emazteengandik,14,1
ziurtatuko,10,1
Jazarpenik,10,1
barruan,7,1
errudun,7,1
hauteskundeetan,15,1
bermatuko,9,1
lana,4,1
agintearen,10,1
antolaketa,10,1
kultura,7,1
Haur,4,1
Familia,7,1
egokiak,7,1
herrialdeen,11,1
herrialdetatik,14,1
iritzia,7,1
orotik,6,1
eskusartze,10,1
eragileen,9,1
aitortzen,9,1
galtzeko,8,1
ongi,4,1
Hezkuntzaren,12,1
egin,4,1
salaketa,8,1
hau,3,1
era,3,1
herriek,7,1
Herriaren,9,1
duten,5,1
egiterik,8,1
elkartzeko,10,1
ezar,4,1
zapalkuntzaren,14,1
ibiltzeko,9,1
bereziak,8,1
ezkontzari,10,1
ezabatuz,8,1
basakeriak,10,1
horri,5,1
dituzte,7,1
zahartzaroa,11,1
askatasunaren,13,1
postan,6,1
herrialdetan,12,1
iraupen,7,1
bitartez,8,1
erizpideen,10,1
errugabetzat,12,1
dohainekoa,10,1
duintasunean,12,1
ezargarri,9,1
eritziak,8,1
ezin,4,1
joan,4,1
ordaindutako,12,1
daitezen,8,1
Arrazoirik,10,1
baino,5,1
aurrerakuntza,13,1
bakeak,6,1
bestekoa,8,1
bizibidea,9,1
matxinadara,11,1
atxilotu,8,1
harreman,8,1
kolorea,7,1
aginduak,8,1
larriagorik,11,1
helburua,8,1
Agirian,7,1
horretara,9,1
bizimodu,8,1
eza,3,1
bultza,6,1
jaiotakoek,10,1
lege,4,1
oporrak,7,1
anker,5,1
emakumek,8,1
elkarkide,9,1
egitean,7,1
asetuta,7,1
Norbanako,9,1
denez,5,1
emandako,8,1
gogaitzeko,10,1
zaintzeko,9,1
frogatzen,9,1
sindikatuak,11,1
inork,5,1
berdintasunez,13,1
jendaurreko,11,1
zainpeko,8,1
ezkontzatik,11,1
lotsarazlerik,13,1
daudela,7,1
nortasundun,11,1
zaiona,6,1
elkarteko,9,1
halako,6,1
etorri,6,1
eskubideetan,12,1
penalak,7,1
horrek,6,1
adieraziko,10,1
ezkontzerik,11,1
dauden,6,1
mailako,7,1
familian,8,1
borondatea,10,1
egiten,6,1
lurraldetakoa,13,1
kontzientzi,11,1
interesen,9,1
sortutako,9,1
alderdikeriarik,15,1
erabakitzeko,12,1
ezkontza,8,1
duintasunerako,14,1
etxean,6,1
denak,5,1
dadin,5,1
mugak,5,1
ikuspegi,8,1
aldarrikatu,11,1
orokorrean,10,1
ukaezinetan,11,1
bereziko,8,1
ezkonduta,9,1
Ezkongaien,10,1
HITZAURREA,10,1
eratu,5,1
aukeratutako,12,1
Delitua,7,1
Denek,5,1
gorabeheragatik,15,1
lagunkoiak,10,1
adierazi,8,1
ikerketak,9,1
azaldu,6,1
jasanez,7,1
heziketa,8,1
NAGUSIAK,8,1
publikoan,9,1
begirunea,9,1
burujabea,9,1
beharra,7,1
Konstituzioak,13,1
azken,5,1
egintzak,8,1
etengabe,8,1
lotura,6,1
Erakundearekin,14,1
beharreko,9,1
horiek,6,1
berari,6,1
gertatzen,9,1
adierazitako,12,1
erakundeek,10,1
sinesmen,8,1
biltzeko,8,1
oinarritzen,11,1
botere,6,1
Inori,5,1
oinarria,8,1
asegurua,8,1
gainera,7,1
bultzatuko,10,1
17.atala,8,1
nola,4,1
eskusartzerik,13,1
Oinarrizko,10,1
dizkieten,9,1
munduko,7,1
gabezia,7,1
justizia,8,1
onari,5,1
berdinez,8,1
jatorra,7,1
garatzeko,9,1
aratzeko,8,1
zuzenean,8,1
betebeharrak,12,1
esklabu,7,1
derrigorrezkoa,14,1
ulertze,7,1
Gizonek,7,1
erabakita,9,1
ekintzetatik,12,1
ihardueraz,10,1
aurrerakuntzan,14,1
jarri,5,1
lurraldea,9,1
seme,4,1
legeriaren,10,1
hango,5,1
benetako,8,1
dioten,6,1
aurrera,7,1
UNIBERTSAL,10,1
jasotzekoa,10,1
txar,4,1
eritzi,6,1
norbanakoaren,13,1
hartu,5,1
borondate,9,1
laguntzaz,9,1
mota,4,1
esklabutza,10,1
berdinak,8,1
EGITEN,6,1
legeei,6,1
begirune,8,1
lanik,5,1
guztiz,6,1
gertatu,7,1
nahi,4,1
berme,5,1
zigor,5,1
ikasketei,9,1
baziren,7,1
preso,5,1
ohore,5,1
Hezkuntza,9,1
Horretarako,11,1
egokia,6,1
elkarte,7,1
kontuan,7,1
izatea,6,1
gabea,5,1
ezinbestekoak,13,1
kanpo,5,1
babesteko,9,1
salerosketa,11,1
gobernuan,9,1
norberaren,10,1
larru,5,1
lanbaldintza,12,1
aurrean,7,1
baimen,6,1
bereizkeria,11,1
zuzenbidezko,12,1
garrantzi,9,1
herrialdearen,13,1
dituena,7,1
laguntzaren,11,1
aztertzeko,10,1
balioan,7,1
goimailako,10,1
emakumeen,9,1
segurantza,10,1
burujabe,8,1
bizitokia,9,1
adierazpen,10,1
zabalago,8,1
lehentasunezko,14,1
jaso,4,1
bitartean,9,1
mugatua,7,1
elkar,5,1
herrialdera,11,1
zein,4,1
egoerari,8,1
izatera,7,1
jasankortasun,13,1
herri,5,1
bidezkoak,9,1
gutxiestearen,13,1
iraun,5,1
nolanahiko,10,1
HAU,3,1
aukeratzeko,11,1
zuzentasunez,12,1
