Token,Length,Frequency
ja,2,76
on,2,57
oikeus,6,34
artikla,7,27
tai,3,27
Jokaisella,10,24
sekä,4,16
ei,2,10
hänen,5,10
kun,3,9
ovat,4,6
kaikkien,8,6
vastaan,7,6
Ketään,6,5
nauttia,7,5
suojaan,7,5
yhteiskunnan,12,5
että,4,5
kansojen,8,5
saa,3,5
lain,4,4
oltava,6,4
vapaasti,8,4
sen,3,4
jotka,5,4
heidän,6,4
mielivaltaisesti,16,4
pidä,4,3
uskonnon,8,3
Kansakuntien,12,3
edistää,7,3
teoista,7,3
siihen,6,3
Yhdistyneiden,13,3
niiden,6,3
kanssa,6,3
hänelle,7,3
kansainvälisen,14,3
riippumatta,11,3
tämä,4,3
ilman,5,3
edistämään,10,3
maansa,6,2
ihmisellä,9,2
päästä,6,2
kautta,6,2
mukaan,6,2
maan,4,2
erotusta,8,2
ihmiskunnan,11,2
syrjintää,9,2
kunkin,6,2
jotta,5,2
tuomioistuimessa,16,2
tulee,5,2
osalta,6,2
osallistua,10,2
toisten,7,2
toimeentulon,12,2
kansakuntien,12,2
vapauksien,10,2
ihmisten,8,2
Keltään,7,2
tämän,5,2
olevan,6,2
ne,2,2
opetuksen,9,2
ihmiset,7,2
joissa,6,2
kenenkään,9,2
perusvapauksien,15,2
näiden,6,2
opettamalla,11,2
vapauden,8,2
minkäänlaista,13,2
turvataan,9,2
kaikki,6,2
pitää,5,2
valtion,7,2
perustaa,8,2
IHMISOIKEUKSIEN,15,2
kunnioittamista,15,2
valita,6,2
vakaumuksen,11,2
muuhun,6,2
oikeuksien,10,2
kukin,5,2
Kaikki,6,2
edessä,6,2
eikä,4,2
yhdessä,7,2
vaihtamiseen,12,2
muun,4,2
rauhan,6,2
turvaamaan,10,2
joka,4,2
myös,4,2
ihmisoikeuksien,15,2
Kaikilla,8,2
julkisesti,10,2
tahto,5,2
tuomita,7,2
häntä,5,2
oikeuksiin,10,2
vapaina,7,2
yhtäläinen,10,2
yksin,5,2
Opetuksen,9,2
palkkaan,8,2
ohjeeksi,8,1
minkä,5,1
muut,4,1
velvollisuuksiaan,17,1
Heille,6,1
kunnes,6,1
kohdistuneista,14,1
samasta,7,1
kaikkialla,10,1
jätetty,7,1
vaatiessa,9,1
tuomista,8,1
yleinen,7,1
turvallisuuteen,15,1
julkisessa,10,1
samaa,5,1
alueiden,8,1
vahvistaneet,12,1
keskuudessa,11,1
hartautta,9,1
JULISTUS,8,1
merkitykseen,12,1
antaa,5,1
maahansa,8,1
maailmassa,10,1
tapahtukoon,11,1
tekohetkellä,12,1
tekevällä,9,1
kotiin,6,1
kansalaisuuden,14,1
perustuvaa,10,1
puolustustaan,13,1
loukattako,10,1
riittävä,8,1
väheksytty,10,1
ajaa,4,1
tahansa,7,1
lomiin,6,1
taloudellisia,13,1
purkamisen,10,1
oikeusjärjestyksellä,20,1
osalliseksi,11,1
voimavarat,10,1
jossa,5,1
kaikilla,8,1
lepoon,6,1
ystävällisten,13,1
omasta,6,1
Tähän,5,1
uskontoon,9,1
oikeutta,8,1
äänestys,8,1
tätä,4,1
maailman,8,1
oikeuden,8,1
yhdistymisvapauteen,19,1
erityiseen,10,1
JOHDANTO,8,1
