Token,Length,Frequency
und,3,78
der,3,49
die,3,37
auf,3,31
zu,2,29
Recht,5,28
das,3,28
Artikel,7,26
hat,3,26
oder,4,25
Jeder,5,24
in,2,22
werden,6,15
durch,5,14
ist,3,11
seine,5,11
darf,4,11
Anspruch,8,10
haben,5,9
von,3,8
seiner,6,8
gegen,5,8
einer,5,7
Freiheit,8,7
sowie,5,7
bei,3,7
als,3,7
den,3,7
Niemand,7,7
da,2,7
Schutz,6,7
mit,3,6
Rechte,6,6
Menschen,8,6
gleichen,8,6
Menschenrechte,14,6
Familie,7,5
Würde,5,5
vor,3,5
sich,4,5
für,3,5
dem,3,5
eine,4,5
ohne,4,5
Erklärung,9,5
Alle,4,5
zum,3,5
sind,4,5
des,3,5
an,2,5
Nationen,8,5
im,2,4
Gesellschaft,12,4
öffentlichen,12,4
dieser,6,4
Grund,5,4
Religion,8,4
ein,3,4
seines,6,4
nach,4,4
nicht,5,4
Gesetz,6,4
Unterschied,11,4
frei,4,4
Gemeinschaft,12,3
allgemeine,10,3
fördern,7,3
allen,5,3
Bildung,7,3
genießen,8,3
Person,6,3
willkürlich,11,3
Vereinten,9,3
Handlung,8,3
anderen,7,3
Landes,6,3
soziale,7,3
Freiheiten,10,3
einem,5,3
gleiche,7,3
freie,5,3
sozialen,8,3
dieses,6,3
Die,3,3
Staatsangehörigkeit,19,3
diese,5,3
Strafe,6,3
Sicherheit,10,3
Wille,5,2
Grundschulunterricht,20,2
Bevölkerung,11,2
Einhaltung,10,2
Kinder,6,2
schließt,8,2
wechseln,8,2
Allgemeine,10,2
ihrer,5,2
wird,4,2
gleich,6,2
wegen,5,2
wie,3,2
sein,4,2
ihren,5,2
verkündet,9,2
gemacht,7,2
Mittel,6,2
Land,4,2
gerechte,8,2
Sklaverei,9,2
Beeinträchtigungen,18,2
Anerkennung,11,2
Sie,3,2
jedes,5,2
rechtlichen,11,2
Mitgliedstaaten,15,2
Grundlage,9,2
gezwungen,9,2
jede,4,2
Zusammenarbeit,14,2
Der,3,2
Entwicklung,11,2
alle,4,2
keine,5,2
Diskriminierung,15,2
unter,5,2
suchen,6,2
Arbeitslosigkeit,16,2
jeder,5,2
Maßnahmen,9,2
Ehe,3,2
Wohnung,7,2
Arbeit,6,2
Verfahren,9,2
muß,3,2
bildet,6,2
Rechten,7,2
internationale,14,2
befriedigende,13,2
gewährleistet,13,2
ihm,3,2
Achtung,7,2
seinen,6,2
allein,6,2
auch,4,2
Welt,4,2
Überzeugung,11,2
einen,5,2
Handlungen,10,2
Begehung,8,2
notwendig,9,2
gehalten,8,2
es,2,2
Gewissen,8,2
damit,5,2
Falle,5,2
Art,3,2
Staates,7,2
strafbaren,10,2
Rasse,5,2
menschlichen,12,2
einschließlich,14,2
Berufsschulunterricht,21,1
Ziele,5,1
Geschlecht,10,1
Verlust,7,1
Gedankengut,11,1
Gebiete,7,1
verboten,8,1
Interessen,10,1
Kulthandlungen,14,1
Glaubensfreiheit,16,1
Ebenso,6,1
grausamer,9,1
Fürsorge,8,1
gelten,6,1
Gerechtigkeit,13,1
Eingriffe,9,1
Ämtern,6,1
sichert,7,1
nationale,9,1
kulturellen,11,1
erhobenen,9,1
Religionsfreiheit,17,1
unschuldig,10,1
höchste,7,1
grundlegenden,13,1
beschlossen,11,1
verstoßen,9,1
Unterricht,10,1
voller,6,1
bekräftigt,10,1
Grundfreiheiten,15,1
solche,6,1
insbesondere,12,1
Vertreter,9,1
willkürlichen,13,1
daß,3,1
innerhalb,9,1
Entlohnung,10,1
unentbehrlich,13,1
volle,5,1
Arbeitszeit,11,1
zur,3,1
Lande,5,1
Ausdruck,8,1
Mitglied,8,1
Verfolgung,10,1
gemeinsames,11,1
innerstaatlichem,16,1
etwa,4,1
kommen,6,1
darauf,6,1
Garantien,9,1
Verteidigung,12,1
Gerichten,9,1
bilden,6,1
Verständnis,11,1
wählen,6,1
Schuld,6,1
Schriftverkehr,14,1
bemühen,7,1
einander,8,1
Grundsätze,10,1
Wert,4,1
Sklavenhandel,13,1
öffentliches,12,1
Beschränkung,12,1
bezahlten,9,1
Staat,5,1
Freizeit,8,1
Leben,5,1
freien,6,1
Aufstand,8,1
solchen,7,1
er,2,1
III,3,1
Ehre,4,1
über,4,1
erfolgt,7,1
Lohn,4,1
grundlegende,12,1
Lebensstandard,14,1
unmittelbar,11,1
Lebensbedingungen,17,1
Pflichten,9,1
unabhängig,10,1
angedrohte,10,1
Eheschließung,13,1
Gleichberechtigung,18,1
Wahlen,6,1
Nahrung,7,1
Invalidität,11,1
eheliche,8,1
Willenseinigung,15,1
Wohl,4,1
Zugang,6,1
Ideal,5,1
zwischen,8,1
politischen,11,1
erniedrigender,14,1
innezuhaben,11,1
Formen,6,1
entsprechende,13,1
notwendige,10,1
anzugehören,11,1
geführt,7,1
Strafverfolgung,15,1
privat,6,1
kann,4,1
genommen,8,1
verkündeten,11,1
Beziehungen,11,1
künftigen,9,1
Erziehung,9,1
Treuhandschaft,14,1
