Token,Length,Frequency
dan,3,77
yang,4,58
berhak,6,33
orang,5,30
dengan,6,26
atas,4,25
Pasal,5,25
Setiap,6,24
atau,4,22
untuk,5,21
dalam,5,19
kebebasan,9,19
dari,4,18
di,2,15
hukum,5,13
tidak,5,11
sama,4,11
hak-hak,7,11
manusia,7,9
ini,3,9
lain,4,8
seorang,7,8
pun,3,8
hak,3,7
Menimbang,9,7
dasar,5,7
pelanggaran,11,7
bahwa,5,7
baik,4,7
maupun,6,6
oleh,4,6
serta,5,6
akan,4,6
setiap,6,6
Tidak,5,6
umum,4,6
perlindungan,12,6
boleh,5,6
perbuatan,9,6
secara,6,6
telah,5,5
suatu,5,5
bebas,5,5
terhadap,8,5
sosial,6,5
semua,5,5
sendiri,7,5
sebagai,7,5
Pernyataan,10,5
termasuk,8,5
agama,5,5
karena,6,5
pengadilan,10,4
Perserikatan,12,4
negara,6,4
asasi,5,4
negerinya,9,4
masyarakat,10,4
pekerjaan,9,4
martabat,8,4
kewarga,7,4
itu,3,4
mempunyai,9,4
internasional,13,4
tanpa,5,4
Bangsa-Bangsa,13,4
Semua,5,4
nasional,8,4
berada,6,4
diskriminasi,12,4
melakukan,9,4
menjamin,8,4
menurut,7,4
tindakan,8,3
jaminan,7,3
kepercayaan,11,3
adil,4,3
pengakuan,9,3
nurani,6,3
lebih,5,3
diperlukan,10,3
negaraan,8,3
sesuatu,7,3
politik,7,3
tentang,7,3
dapat,5,3
pendapat,8,3
dilakukan,9,3
perlu,5,3
keluarganya,11,3
kedudukan,9,3
tersebut,8,3
mendapat,8,3
mana,4,3
pada,4,3
hati,4,3
bangsa-bangsa,13,3
Umum,4,3
penuh,5,2
pengejaran,10,2
memperoleh,10,2
melaksanakan,12,2
saja,4,2
gangguan,8,2
rakyat,6,2
menggalakkan,12,2
hukuman,7,2
wanita,6,2
bersifat,8,2
harus,5,2
kebangsaan,10,2
kemajuan,8,2
sewenang-wenang,15,2
perawatan,9,2
Tak,3,2
memasuki,8,2
Manusia,7,2
negeri,6,2
kemerdekaan,11,2
bertentangan,12,2
mencari,7,2
mencapai,8,2
bentuk,6,2
keluarga,8,2
mereka,6,2
undang-undang,13,2
alamiah,7,2
adalah,6,2
pembatasan,10,2
batas-batas,11,2
memandang,9,2
diperkenankan,13,2
dilaksanakan,12,2
bawah,5,2
apapun,6,2
seseorang,9,2
Asasi,5,2
Hak-Hak,7,2
anggota,7,2
Anggota,7,2
melindungi,10,2
Negara,6,2
satu,4,2
depan,5,2
kekurangan,10,2
berkala,7,2
menyatakan,10,2
melalui,7,2
dunia,5,2
serikat,7,2
memilih,7,2
seperti,7,2
perkawinan,10,2
menjadi,7,2
jalan,5,2
ketika,6,2
pikiran,7,2
tujuan,6,2
memiliki,8,2
hubungan,8,2
merdeka,7,2
dinyatakan,10,2
bersama-sama,12,2
saat,4,2
Mereka,6,2
hidup,5,2
efektif,7,2
taraf,5,2
pengupahan,10,2
Negara-Negara,13,2
bantuan,7,2
sangat,6,2
terbuka,7,2
suara,5,2
penghargaan,11,2
kepadanya,9,2
pribadinya,10,2
kekuasaan,9,2
tak,3,2
menerima,8,2
pemerintahan,12,2
ataupun,7,2
semena-mena,11,2
akal,4,1
pengertian,10,1
martabatnya,11,1
milik,5,1
membeda-bedakan,15,1
anak-anak,9,1
pribadi,7,1
berdasarkan,11,1
dituntut,8,1
wilayah-wilayah,15,1
umat,4,1
tempat,6,1
mendidik,8,1
liburan,7,1
lagi,4,1
supaya,6,1
kejahatan-kejahatan,19,1
penindasan,10,1
standar,7,1
warna,5,1
kebudayaan,10,1
penghidupan,11,1
perantaraan,11,1
kesehatannya,12,1
baiknya,7,1
berhubungan,11,1
kedua,5,1
kulit,5,1
Keluarga,8,1
agar,4,1
keadilan,8,1
mengeluarkan,12,1
badan,5,1
menyuratnya,11,1
kemarahan,9,1
berdiam,7,1
semangat,8,1
sampai,6,1
hasutan,7,1
hal,3,1
sungguh-sungguh,15,1
kesehatan,9,1
luas,4,1
kehendak,8,1
perkecualian,12,1
pilih,5,1
dipilih,7,1
manusiawi,9,1
Kehendak,8,1
negaraannya,11,1
kembali,7,1
daripada,8,1
individu,8,1
ibadahnya,9,1
kelamin,7,1
ditahan,7,1
menderita,9,1
tercantum,9,1
disiksa,7,1
hartanya,8,1
Perkawinan,10,1
pemilihan,9,1
pidana,6,1
Di,2,1
kelaliman,9,1
senantiasa,10,1
bertekad,8,1
cita-cita,9,1
mempraktekkannya,16,1
berlainan,9,1
sesuai,6,1
perceraian,10,1
disangka,8,1
berbicara,9,1
media,5,1
pakaian,7,1
Majelis,7,1
kewajibannya,12,1
jika,4,1
usaha-usaha,11,1
membentuk,9,1
sudah,5,1
bengis,6,1
bekerjasama,11,1
beragama,8,1
masa,4,1
dewasa,6,1
perwalian,9,1
berasal,7,1
kehidupan,9,1
lanjut,6,1
Piagam,6,1
berserikat,10,1
penghormatannya,15,1
upah,4,1
dijatuhkan,10,1
hari,4,1
sumber-sumber,13,1
pelayanan,9,1
berjanji,8,1
ras,3,1
semacam,7,1
menganggur,10,1
haknya,6,1
berganti,8,1
dikaruniai,10,1
biasa,5,1
diri,4,1
muka,4,1
ke,2,1
dilarang,8,1
janda,5,1
seharusnya,10,1
terbentuknya,12,1
mutlak,6,1
pria,4,1
mengalami,9,1
mengabaikan,11,1
universal,9,1
Hak,3,1
usia,4,1
dihukum,7,1
jajahan,7,1
kerjasama,9,1
memproklamasikan,16,1
wilayah,7,1
harta,5,1
mengecap,8,1
menjatuhkan,11,1
pertumbuhan,11,1
ditangkap,9,1
bergaul,7,1
kelahiran,9,1
persetujuan,11,1
turut,5,1
direndahkan,11,1
pangan,6,1
dipaksa,7,1
kelalaian,9,1
mula,4,1
