Token,Length,Frequency
모든,2,39
권리를,3,31
가진다,3,28
조,1,26
사람은,3,26
제,1,26
또는,2,25
대한,2,16
받을,2,12
및,1,11
아니한다,4,9
자신의,3,8
어느,2,8
그리고,3,8
누구도,3,8
이러한,3,8
자유에,3,7
동등한,3,6
어떠한,3,6
권리와,3,6
이,1,5
한다,2,5
대하여,3,5
보호를,3,5
자유를,3,4
통하여,3,4
사회적,3,4
기본적,3,4
다른,2,4
수,1,4
위하여,3,4
자유와,3,4
그,1,4
의하여,3,4
것이,2,4
사람과,3,3
국적을,3,3
자신과,3,3
포함하여,4,3
있다,2,3
교육은,3,3
자유,2,3
인종,2,3
없이,2,3
국가,2,3
존엄과,3,3
신념을,3,3
권리는,3,3
종교,2,3
필요한,3,3
관계없이,4,3
완전한,3,3
자의적으로,5,3
차별이,3,2
근거하여,4,2
향유할,3,2
하는,2,2
받지,2,2
법,1,2
동일한,3,2
권리에,3,2
기타의,3,2
앞에,2,2
각,1,2
단독으로,4,2
정당하고,4,2
가능하여야,5,2
인간은,3,2
그의,2,2
공통의,3,2
교육을,3,2
자격이,3,2
영토의,3,2
자유로운,4,2
가질,2,2
인권과,3,2
선언에,3,2
유죄로,3,2
또한,2,2
보다,2,2
정치적,3,2
인격의,3,2
필수적이며,5,2
세계의,3,2
국민들,3,2
양심을,3,2
포함한다,4,2
있어,2,2
행위시에,4,2
국가의,3,2
누릴,2,2
따라,2,2
유리한,3,2
인간이,3,2
변경할,3,2
생활수준을,5,2
권리가,3,2
비호를,3,2
범죄,2,2
국제적,3,2
사회의,3,2
재산을,3,2
경우에,3,2
있는,2,2
국제연합의,5,2
인간의,3,2
박탈당하지,5,2
강요받지,4,2
아동은,3,2
평화의,3,2
의한,2,2
법의,2,2
공동으로,4,2
공포와,3,1
이해,2,1
금지된다,4,1
노동,2,1
그러한,3,1
자연적이고,5,1
폭넓은,3,1
통신에,3,1
독립국,3,1
관용,2,1
적서에,3,1
노력하도록,5,1
인정받을,4,1
조직과,3,1
정부에,3,1
세계인권선언을,7,1
헌장에서,4,1
아니하며,4,1
직업의,3,1
자신에,3,1
사회보장방법으로,8,1
불가항력의,5,1
국제연합과,5,1
자국을,3,1
배우자,3,1
서로,2,1
자원에,3,1
견해,2,1
일원으로서,5,1
실현할,3,1
평화적인,4,1
결성하고,4,1
따른,2,1
예속상태에,5,1
소유할,3,1
불가결한,4,1
의식주,3,1
사람들의,4,1
보통,2,1
보장하며,4,1
합리적,3,1
경제적,3,1
의사가,3,1
준수를,3,1
받거나,3,1
증진하기로,5,1
무죄로,3,1
있었던,3,1
권한있는,4,1
협력을,3,1
반란을,3,1
노동시간의,5,1
성취하여야,5,1
국가적,3,1
점진적,3,1
결사의,3,1
국제적인,4,1
적용될,3,1
언,1,1
언론과,3,1
문화적,3,1
실업,2,1
재확인하였으며,7,1
보호되어야,5,1
특별한,3,1
선출된,3,1
성립된다,4,1
법정에서,4,1
아니된다,4,1
존엄에,3,1
비자치지역이거나,8,1
무상이어야,5,1
혼인해소시에,6,1
문,1,1
잔혹하거나,5,1
국내법정에서,6,1
유념하면서,5,1
비인도적이거나,7,1
행위로,3,1
양심,2,1
성인,2,1
부합하는,4,1
의무적이어야,6,1
접근이,3,1
진정한,3,1
항상,2,1
초등교육은,5,1
피부색,3,1
자국으로,4,1
개인과,3,1
구성하지,4,1
회원국들은,5,1
없는,2,1
보편적이고,5,1
같은,2,1
제한도,3,1
구하거나,4,1
인하여,3,1
이에,2,1
국내법,3,1
간섭이나,4,1
투표절차에,5,1
가족에게,4,1
받느냐에,4,1
실력에,3,1
주권에,3,1
집단간에,4,1
가입할,3,1
기관이,3,1
나아가,3,1
서약의,3,1
아니하는,4,1
목적과,3,1
도래가,3,1
상황으로,4,1
생계,2,1
주장될,3,1
독립적이며,5,1
종류의,3,1
자유가,3,1
선언을,3,1
그들은,3,1
가정은,3,1
최소한,3,1
무시와,3,1
신체의,3,1
사적으로,4,1
집회,2,1
자유로이,4,1
추방되지,4,1
다짐하였고,5,1
형사상,3,1
사회와,3,1
강화를,3,1
노동에,3,1
이익을,3,1
구금,2,1
왔으며,3,1
재판을,3,1
행사,2,1
의무,2,1
국경에,3,1
가족의,3,1
돌아올,3,1
보호하기,4,1
사람들은,4,1
간섭없이,4,1
초등,2,1
혼인은,3,1
표현된다,4,1
자유로우며,5,1
천부적으로,5,1
아니라,3,1
평등하며,4,1
부여받았으며,6,1
가정을,3,1
경우에는,4,1
국민의,3,1
형벌을,3,1
명성에,3,1
생존을,3,1
부과되지,4,1
통해서도,4,1
사망,2,1
의견을,3,1
동등하고,4,1
인권이,3,1
선거에,3,1
목표로,3,1
제약을,3,1
법적,2,1
전달하는,4,1
양도할,3,1
진보와,3,1
때까지,3,1
인정하는,4,1
관할,2,1
공무담임권을,6,1
의견의,3,1
속한,2,1
누린다,3,1
사상,2,1
가지며,3,1
비난을,3,1
협력하여,4,1
행동하여야,5,1
우의를,3,1
노령,2,1
국가간에,4,1
형제애의,4,1
정의,2,1
권능의,3,1
위배되는,4,1
제한과,3,1
조치를,3,1
할,1,1
추구하고,4,1
사생활,3,1
휴식과,3,1
가치,2,1
증진하기,4,1
사회복지를,5,1
보호와,3,1
발전과,3,1
천명되어,4,1
사상을,3,1
증진할,3,1
민족적,3,1
인간으로서,5,1
원칙에,3,1
않으려면,4,1
변호에,3,1
세,1,1
영토가,3,1
비정치적,4,1
침해하는,4,1
차별과,3,1
사이에서,4,1
되지,2,1
주거,2,1
가장,2,1
놓여지지,4,1
혼인하고,4,1
인식되고,4,1
동등하다,4,1
보장된,3,1
천부의,3,1
