Token,Length,Frequency
dan,3,73
yang,4,39
berhak,6,31
orang,5,29
kepada,6,28
adalah,6,27
atau,4,26
hak,3,25
Perkara,7,25
Setiap,6,24
kebebasan,9,16
di,2,15
dalam,5,14
manusia,7,14
sama,4,14
secara,6,14
dengan,6,13
negara,6,12
terhadap,8,12
sebarang,8,12
boleh,5,12
ini,3,11
oleh,4,10
rata,4,10
bagi,4,10
pun,3,10
Tiada,5,9
serta,5,9
asasi,5,9
undang-undang,13,8
sesiapa,7,8
perlindungan,12,8
telah,5,7
lain,4,7
suatu,5,7
bebas,5,7
melalui,7,7
tanpa,5,7
hendaklah,9,7
daripada,8,6
Bahawasanya,11,6
sosial,6,6
pembezaan,9,6
mana,4,6
Bangsa,6,6
tindakan,8,5
tidak,5,5
sebagai,7,5
kesalahan,9,5
agama,5,5
umat,4,4
untuk,5,4
sisi,4,4
seluruh,7,4
wenangnya,9,4
Perisytiharan,13,4
masa,4,4
politik,7,4
diri,4,4
masyarakat,10,4
dikenakan,9,4
antarabangsa,12,4
keadaan,7,4
kemuliaan,9,4
negaranya,9,4
taraf,5,4
perkembangan,12,3
gangguan,8,3
rakyat,6,3
hukuman,7,3
adil,4,3
lebih,5,3
atas,4,3
ke,2,3
wilayah,7,3
harta,5,3
memajukan,9,3
pematuhan,9,3
Negara,6,3
keseksaan,9,3
apa-apa,7,3
perlu,5,3
menjadi,7,3
perasaan,8,3
tujuan,6,3
sejagat,7,3
termasuklah,11,3
masing-masing,13,3
dari,4,3
sepenuhnya,10,3
sewenang,8,3
Bersatu,7,3
Semua,5,3
pada,4,3
hati,4,3
bidang,6,3
terbuka,7,3
antara,6,3
bangsa,6,3
tribunal,8,3
sumber,6,2
wakil,5,2
kepercayaan,11,2
asas,4,2
ianya,5,2
bekerja,7,2
kebangsaan,10,2
kenyataan,9,2
mana-mana,9,2
fahaman,7,2
prinsip,7,2
keluarga,8,2
mereka,6,2
kuasa,5,2
pengajaran,10,2
berkesan,8,2
mengira,7,2
setiap,6,2
bawah,5,2
perempuan,9,2
kerjasama,9,2
kepercayaannya,14,2
jua,3,2
perkahwinan,11,2
bersama,7,2
berkahwin,9,2
semua,5,2
anggota,7,2
perkhidmatan,12,2
pendapat,8,2
sendiri,7,2
pekerjaan,9,2
satu,4,2
berkala,7,2
keselamatan,11,2
pengangguran,12,2
dilakukan,9,2
sempadan,8,2
dilucutkan,10,2
dunia,5,2
keluarganya,11,2
termasuk,8,2
berfaedah,9,2
melanggar,9,2
itu,3,2
ketika,6,2
diadakan,8,2
dibuktikan,10,2
benar,5,2
kerajaan,8,2
menukar,7,2
salah,5,2
kewarganegaraan,15,2
kedaulatan,10,2
sesebuah,8,2
penting,7,2
Mereka,6,2
hidup,5,2
bersendirian,12,2
ahli,4,2
menikmati,9,2
lainnya,7,2
percerobohan,12,2
menubuhkan,10,2
baginya,7,2
pihak,5,2
fikiran,7,2
menjadikan,10,2
sedemikian,10,2
langkah,7,2
menurut,7,2
semula,6,2
pengiktirafan,13,2
ketara,6,1
bergaji,7,1
Perkahwinan,11,1
seluruhnya,10,1
berperingkat,12,1
sempurna,8,1
jaminan,7,1
bahagian,8,1
SEJAGAT,7,1
berasaskan,10,1
dituntut,8,1
mahu,4,1
lagi,4,1
supaya,6,1
rehat,5,1
penindasan,10,1
kewarganegaraanya,17,1
warna,5,1
kebudayaan,10,1
pendakwaan,10,1
pengabaian,10,1
baiknya,7,1
jenayah,7,1
kedua,5,1
kulit,5,1
Keluarga,8,1
keadilan,8,1
mengeluarkan,12,1
badan,5,1
diperhamba,10,1
perhubungan,11,1
menyuratnya,11,1
kebajikan,9,1
semangat,8,1
hasutan,7,1
luas,4,1
munasabah,9,1
citarasa,8,1
termesti,8,1
terpenting,10,1
dipilih,7,1
kembali,7,1
keabdian,8,1
Lelaki,6,1
dituduh,7,1
individu,8,1
ikrar,5,1
pemulihan,9,1
pemilihan,9,1
dagangan,8,1
menganuti,9,1
memberontak,11,1
diberikannya,12,1
memadai,7,1
suasana,7,1
penggajian,10,1
senantiasa,10,1
negeri,6,1
bertentangan,12,1
kehormatan,10,1
sesuai,6,1
media,5,1
mencapai,8,1
Piagamnya,9,1
mengambil,9,1
pakaian,7,1
jika,4,1
tangkapan,9,1
insan,5,1
faham,5,1
menyebarkan,11,1
MAKA,4,1
pembuangan,10,1
sekerja,7,1
ketinggalan,11,1
penetapan,9,1
seksaan,7,1
dewasa,6,1
keazaman,8,1
kehidupan,9,1
keturunan,9,1
berfikir,8,1
cuti,4,1
teragung,8,1
memegang,8,1
bertindak,9,1
sejati,6,1
HAK,3,1
diperabdikan,12,1
Seterusnya,10,1
perbicaraan,11,1
perlembagaan,12,1
mendorong,9,1
akan,4,1
dilaksanakan,12,1
sulit,5,1
ASASI,5,1
berhubung,9,1
dilarang,8,1
menghinakan,11,1
munculnya,9,1
kumpulan,8,1
termaktub,9,1
peluang,7,1
