Token,Length,Frequency
sa,2,131
ng,2,119
at,2,81
mga,3,52
na,2,52
Ang,3,33
karapatan,9,32
may,3,29
ang,3,29
bawat,5,28
Artikulo,8,25
tao'y,5,23
o,1,22
kanyang,7,20
mang,4,18
ay,2,18
tao,3,13
karapatang,10,13
pantay,6,13
walang,6,12
isang,5,11
ito,3,11
kalayaan,8,10
di,2,10
ano,3,9
bansa,5,9
batas,5,9
pamamagitan,11,9
Walang,6,8
lahat,5,8
nang,4,7
Sapagkat,8,7
laban,5,7
karangalan,10,6
sarili,6,6
iba,3,6
kasama,6,6
sino,4,6
pangangalaga,12,6
pang,4,5
pag,3,5
relihiyon,9,5
panahong,8,5
pagkakasalang,13,5
panlipunan,10,5
pandaigdig,10,5
pagtatangi,10,5
lipunan,7,5
kalayaang,9,4
pinarurusahan,13,4
dapat,5,4
para,4,4
pamilya,7,4
malayang,8,4
Estado,6,4
taong,5,4
bilang,6,4
nasa,4,3
Pahayag,7,3
ilalim,6,3
Nagkakaisa,10,3
pambansa,8,3
budhi,5,3
makatarungan,12,3
malaya,6,3
makatwirang,11,3
maging,6,3
pagkamamamayan,14,3
buhay,5,3
Bansang,7,3
paggawa,7,3
pagtalima,9,3
lubhang,7,3
kailangan,9,3
mag,3,3
lalong,6,3
katwiran,8,3
karapat,7,3
kanilang,8,3
arian,5,3
mahalaga,8,3
panghihimasok,13,3
mamamayan,9,3
gawang,6,3
pampulitika,11,3
ari,3,3
paglilitis,10,2
pamantayan,10,2
pagkilala,9,2
pagtuturo,9,2
nagkasala,9,2
gawain,6,2
kanya,5,2
mabuting,8,2
gayong,6,2
alinsunod,9,2
nararapat,9,2
tunay,5,2
pagsasamahan,12,2
kalagayan,9,2
pagtatakda,10,2
dahil,5,2
pana,4,2
alin,4,2
pangunahing,11,2
pagkatao,8,2
kuro,4,2
ito'y,5,2
magpalit,8,2
aalisan,7,2
paninirahan,11,2
saligang,8,2
hayag,5,2
kapanatagan,11,2
NG,2,2
mapapasukang,12,2
lahi,4,2
isa,3,2
paglilingkod,12,2
paggalang,9,2
ganap,5,2
hanggahan,9,2
humanap,7,2
hukumang,8,2
Kasaping,8,2
pamahalaan,10,2
itaguyod,8,2
kinabibilangan,14,2
pagpapaunlad,12,2
pipiliting,10,2
pangkalahatan,13,2
uusig,5,2
makatao,7,2
paniniwala,10,2
daigdig,7,2
saligan,7,2
tuligsa,7,2
mabisang,8,2
paraan,6,2
kung,4,2
kapantay,8,2
hindi,5,2
sapat,5,2
harap,5,2
asawa,5,2
ni,2,2
pagtatanggol,12,1
magpamilya,10,1
kinakailangang,14,1
gawa,4,1
pagsamba,8,1
parusang,8,1
nabibilang,10,1
malupit,7,1
kalusugan,9,1
panahon,7,1
magagawa,8,1
halalan,7,1
pamantayang,11,1
hanapbuhay,10,1
Karta,5,1
pangangalangang,15,1
lalaki't,8,1
aasawa,6,1
ipaiilalim,10,1
ituturing,9,1
manggagawa,10,1
maitaguyod,10,1
Pandaigdig,10,1
aapi,4,1
pagpapatapon,12,1
magiging,8,1
garantiyang,11,1
nakapamamahala,14,1
dako,4,1
KARAPATAN,9,1
kapisanan,9,1
panangutan,10,1
magawa,6,1
lumalabag,9,1
ituring,7,1
pagdatal,8,1
Karapatan,9,1
tangi,5,1
saan,4,1
ipinagkaloob,12,1
kagalingan,10,1
Nararapat,9,1
kanais,6,1
laging,6,1
kriminal,8,1
pangangalakal,13,1
kawalang,8,1
teritoryong,11,1
pagpupulong,11,1
nalalabag,9,1
magtamasa,9,1
hakbang,7,1
pagdakip,8,1
pananamit,9,1
angkin,6,1
kaunlarang,10,1
kalooban,8,1
