Language;Family;Tokenizer;Code
Spanish;Indo-European;es_core_news_sm;es
Korean;Koreanic;ko_core_news_sm;ko
Finnish;Uralic;fi_core_news_sm;fi
Turkish;Turkic;Turkish;tr
Indonesian;Austronesian;Indonesian;id
Chinese;Sino-Tibetan;zh_core_web_sm;zh
Japanese;Japonic;ja_core_news_sm;ja
Arabic;Austronesian;Arabic;ar
Tagalog;Afro-Asiatic;Tagalog;tl
Basque;N/D;Basque;eu
Estonian;Uralic;Estonian;et
Kannada;Dravian;Kannada;kn
Yoruba;Atlantic-Congo;Yoruba;yo
Polish;Indo-European;pl_core_news_sm;pl
German;Indo-European;de_core_news_sm;de
Bulgarian;Indo-European;Bulgarian;bg
Setswana;Atlantic-Congo;Setswana;tn
Vietnamese;Austroasiatic;Viatnamese;vi
Malay;Astronesian;Malay;ms
Irish;Indo-European;Irish;ga
