Token,Length,Frequency
的,1,149
人,1,103
和,1,80
有,1,70
权,1,68
国,1,41
由,1,35
利,1,34
条,1,33
自,1,32
任,1,31
不,1,31
受,1,30
第,1,30
或,1,30
在,1,28
何,1,27
会,1,25
他,1,24
一,1,23
享,1,23
以,1,23
得,1,21
并,1,21
十,1,21
为,1,20
家,1,19
教,1,18
本,1,18
所,1,18
行,1,18
对,1,17
社,1,17
应,1,17
于,1,16
合,1,15
其,1,15
平,1,15
生,1,14
保,1,14
法,1,14
言,1,13
这,1,13
种,1,13
二,1,13
㈡,1,13
等,1,13
㈠,1,13
宣,1,12
进,1,12
而,1,12
个,1,12
各,1,12
作,1,11
护,1,11
育,1,10
意,1,9
要,1,9
律,1,9
使,1,8
宗,1,8
分,1,8
性,1,8
公,1,8
通,1,8
基,1,8
发,1,8
同,1,8
尊,1,8
加,1,8
时,1,8
定,1,7
领,1,7
政,1,7
及,1,7
活,1,7
正,1,7
民,1,7
制,1,7
刑,1,7
土,1,7
普,1,7
治,1,7
实,1,7
鉴,1,7
重,1,7
婚,1,7
联,1,7
现,1,7
庭,1,6
视,1,6
工,1,6
下,1,6
此,1,6
遍,1,6
无,1,6
成,1,6
义,1,6
罪,1,6
中,1,6
过,1,6
展,1,6
促,1,6
免,1,6
员,1,5
情,1,5
大,1,5
格,1,5
际,1,5
序,1,5
选,1,5
㈢,1,5
限,1,5
信,1,5
予,1,5
必,1,5
论,1,5
包,1,5
被,1,5
解,1,5
产,1,5
力,1,5
已,1,5
地,1,5
方,1,5
籍,1,5
括,1,5
开,1,5
认,1,5
主,1,5
切,1,5
文,1,5
属,1,5
界,1,5
能,1,5
业,1,5
是,1,5
害,1,4
别,1,4
身,1,4
布,1,4
之,1,4
况,1,4
表,1,4
学,1,4
世,1,4
集,1,4
承,1,4
迫,1,4
参,1,4
依,1,4
障,1,4
独,1,4
些,1,4
充,1,4
期,1,4
严,1,4
适,1,4
者,1,4
事,1,4
心,1,4
证,1,4
女,1,4
三,1,4
隶,1,4
经,1,4
类,1,4
当,1,4
歧,1,4
务,1,4
求,1,4
间,1,4
奴,1,4
需,1,4
立,1,4
全,1,4
到,1,3
了,1,3
非,1,3
均,1,3
八,1,3
机,1,3
愿,1,3
良,1,3
福,1,3
仰,1,3
项,1,3
因,1,3
前,1,3
每,1,3
投,1,3
票,1,3
九,1,3
判,1,3
五,1,3
财,1,3
干,1,3
改,1,3
确,1,3
团,1,3
失,1,3
出,1,3
努,1,3
们,1,3
传,1,3
维,1,3
理,1,3
暴,1,3
违,1,3
动,1,3
住,1,3
单,1,3
族,1,3
六,1,3
术,1,3
涉,1,3
控,1,3
只,1,3
秩,1,3
旨,1,3
择,1,3
男,1,3
七,1,3
级,1,3
四,1,3
构,1,3
载,1,3
用,1,2
原,1,2
区,1,2
完,1,2
审,1,2
效,1,2
据,1,2
上,1,2
侮,1,2
友,1,2
示,1,2
神,1,2
息,1,2
剥,1,2
质,1,2
件,1,2
见,1,2
忍,1,2
罚,1,2
精,1,2
给,1,2
具,1,2
赋,1,2
共,1,2
残,1,2
名,1,2
步,1,2
科,1,2
侵,1,2
遭,1,2
变,1,2
且,1,2
职,1,2
如,1,2
念,1,2
宪,1,2
组,1,2
寻,1,2
接,1,2
举,1,2
