Token,Length,Frequency
und,3,78
der,3,49
die,3,37
auf,3,31
zu,2,29
das,3,28
Recht,5,28
Artikel,7,26
hat,3,26
oder,4,25
Jeder,5,24
in,2,22
werden,6,15
durch,5,14
ist,3,11
darf,4,11
seine,5,11
Anspruch,8,10
haben,5,9
gegen,5,8
von,3,8
seiner,6,8
da,2,7
Niemand,7,7
Schutz,6,7
als,3,7
bei,3,7
Freiheit,8,7
den,3,7
sowie,5,7
einer,5,7
gleichen,8,6
Menschenrechte,14,6
Rechte,6,6
Menschen,8,6
mit,3,6
dem,3,5
sich,4,5
sind,4,5
für,3,5
Familie,7,5
Nationen,8,5
Alle,4,5
vor,3,5
zum,3,5
Erklärung,9,5
des,3,5
ohne,4,5
an,2,5
eine,4,5
Würde,5,5
ein,3,4
öffentlichen,12,4
Religion,8,4
Grund,5,4
im,2,4
frei,4,4
Unterschied,11,4
Gesellschaft,12,4
seines,6,4
nicht,5,4
dieser,6,4
Gesetz,6,4
nach,4,4
dieses,6,3
fördern,7,3
genießen,8,3
allgemeine,10,3
Sicherheit,10,3
freie,5,3
sozialen,8,3
Freiheiten,10,3
einem,5,3
gleiche,7,3
Bildung,7,3
Handlung,8,3
willkürlich,11,3
Person,6,3
diese,5,3
Strafe,6,3
Gemeinschaft,12,3
Vereinten,9,3
allen,5,3
Staatsangehörigkeit,19,3
anderen,7,3
Landes,6,3
Die,3,3
soziale,7,3
Grundschulunterricht,20,2
Diskriminierung,15,2
wechseln,8,2
einschließlich,14,2
damit,5,2
Wohnung,7,2
Anerkennung,11,2
verkündet,9,2
Beeinträchtigungen,18,2
Sie,3,2
Handlungen,10,2
Maßnahmen,9,2
einen,5,2
gemacht,7,2
Allgemeine,10,2
Zusammenarbeit,14,2
strafbaren,10,2
Land,4,2
keine,5,2
Welt,4,2
wegen,5,2
rechtlichen,11,2
Arbeit,6,2
Arbeitslosigkeit,16,2
Rechten,7,2
Staates,7,2
bildet,6,2
Achtung,7,2
Überzeugung,11,2
internationale,14,2
seinen,6,2
ihm,3,2
jede,4,2
Mitgliedstaaten,15,2
gezwungen,9,2
Einhaltung,10,2
alle,4,2
unter,5,2
notwendig,9,2
sein,4,2
schließt,8,2
menschlichen,12,2
auch,4,2
suchen,6,2
Ehe,3,2
Gewissen,8,2
Entwicklung,11,2
Art,3,2
Mittel,6,2
Begehung,8,2
Der,3,2
Bevölkerung,11,2
es,2,2
muß,3,2
gewährleistet,13,2
Falle,5,2
befriedigende,13,2
wie,3,2
Rasse,5,2
jedes,5,2
ihren,5,2
Grundlage,9,2
Kinder,6,2
allein,6,2
gerechte,8,2
wird,4,2
jeder,5,2
gehalten,8,2
gleich,6,2
Wille,5,2
Sklaverei,9,2
ihrer,5,2
Verfahren,9,2
nachgewiesen,12,1
Staat,5,1
Erziehung,9,1
Grundfreiheiten,15,1
höchste,7,1
Vereinigung,11,1
Angelegenheiten,15,1
Mann,4,1
Auflösung,9,1
Gericht,7,1
irgendeinen,11,1
voller,6,1
Verteidigung,12,1
ihre,4,1
Nahrung,7,1
unveräußerlichen,16,1
daß,3,1
Streben,7,1
Rufes,5,1
zusammenzuschließen,19,1
angeborenen,11,1
Grundsätze,10,1
sollen,6,1
Gebiets,7,1
Dieses,6,1
anzugehören,11,1
unentbehrlich,13,1
Wert,4,1
Gerechtigkeit,13,1
unterworfen,11,1
Rede-,5,1
war,3,1
Sklavenhandel,13,1
ergänzt,7,1
verhängt,8,1
Hautfarbe,9,1
Eine,4,1
Volkes,6,1
verpflichtet,12,1
Staatsanghörigkeit,18,1
derartigen,10,1
Gottesdienst,12,1
Vermögen,8,1
Kleidung,8,1
Lohn,4,1
Tyrannei,8,1
geführt,7,1
versammeln,10,1
noch,4,1
steht,5,1
größerer,8,1
Leibeigenschaft,15,1
zur,3,1
Verwitwung,10,1
schützen,8,1
festgenommen,12,1
innerstaatliche,15,1
Furcht,6,1
Zugang,6,1
nur,3,1
Not,3,1
Unterlassung,12,1
Eingriffen,10,1
eines,5,1
Mensch,6,1
Selbstregierung,15,1
Brüderlichkeit,14,1
Ziele,5,1
beraubt,7,1
zuständigen,11,1
erreichende,11,1
Empörung,8,1
tatsächliche,12,1
vom,3,1
hinzuwirken,11,1
anerkannt,9,1
notwendige,10,1
beizutreten,11,1
Männer,6,1
solange,7,1
Souveränität,12,1
Vereinigungen,13,1
wirksamen,9,1
Eigentums,9,1
Herrschaft,10,1
Haft,4,1
Akten,5,1
Ländern,7,1
Resolution,10,1
Lebensstandard,14,1
halten,6,1
gemäß,5,1
Beschränkung,12,1
solchen,7,1
Fürsorge,8,1
Verständnis,11,1
Arbeitsbedingungen,18,1
Hochschulunterricht,19,1
zustehenen,10,1
Frauen,6,1
politischen,11,1
etwa,4,1
genommen,8,1
deren,5,1
unschuldig,10,1
Mitglieder,10,1
Frieden,7,1
Weltanschauung,14,1
Gebiete,7,1
innezuhaben,11,1
beschlossen,11,1
volle,5,1
unmenschlicher,14,1
geschlossen,11,1
solche,6,1
