Token,Length,Frequency
の,1,156
を,1,127
に,1,126
は,1,104
て,1,55
及び,2,50
権利,2,49
と,1,47
すべて,3,40
人,1,39
する,2,38
的,1,38
有する,3,37
条,1,31
自由,2,30
で,1,30
第,1,30
し,1,29
な,1,29
こと,2,28
ない,2,26
も,1,23
又,1,23
が,1,18
受ける,3,18
さ,1,16
なら,2,15
社会,2,15
その,2,13
ある,2,13
かつ,2,13
この,2,13
た,1,12
れ,1,12
自己,2,12
よっ,2,11
ば,1,11
れる,2,11
なけれ,3,11
対し,2,10
教育,2,10
保護,2,10
国際,2,9
宣言,2,9
おい,2,9
平等,2,8
他,1,8
国,1,8
者,1,8
いかなる,4,8
人権,2,8
何,1,8
また,2,8
対する,3,7
法,1,7
られ,2,6
完全,2,6
労働,2,6
差別,2,6
宗教,2,6
よる,2,6
並びに,3,6
保障,2,5
行為,2,5
ため,2,5
促進,2,5
人間,2,5
婚姻,2,5
尊厳,2,5
享有,2,5
地域,2,5
目的,2,5
よう,2,5
もしくは,4,5
連合,2,5
生活,2,5
これ,2,5
なく,2,5
ら,1,5
ほしいまま,5,4
制限,2,4
人民,2,4
基礎,2,4
権,1,4
場合,2,4
利,1,4
世界,2,4
基本,2,4
下,1,4
発展,2,4
る,1,4
ず,1,4
上,1,4
政治,2,4
自国,2,4
公平,2,4
犯罪,2,4
受け,2,4
間,1,4
尊重,2,4
か,1,4
国籍,2,4
い,1,4
より,2,4
干渉,2,3
信念,2,3
家族,2,3
できる,3,3
家庭,2,3
つい,2,3
義務,2,3
含む,2,3
でき,2,3
同等,2,3
良心,2,3
人格,2,3
奴隷,2,3
意見,2,3
手段,2,3
平和,2,3
集団,2,3
人種,2,3
のみ,2,3
もの,2,3
男女,2,3
法律,2,3
意思,2,3
国又,2,3
国連,2,3
もつ,2,3
一般,2,3
個人,2,3
選挙,2,3
裁判,2,3
必要,2,3
財産,2,3
掲げる,3,3
非,1,3
加盟,2,3
地位,2,2
服する,3,2
普遍,2,2
及,1,2
いずれ,3,2
活動,2,2
奪わ,2,2
おけ,2,2
職業,2,2
人類,2,2
構成,2,2
変更,2,2
水準,2,2
訴追,2,2
肝要,2,2
刑罰,2,2
進歩,2,2
各国,2,2
ながら,3,2
公開,2,2
問わ,2,2
関係,2,2
結社,2,2
科学,2,2
精神,2,2
保,1,2
組織,2,2
各,1,2
達成,2,2
他国,2,2
す,1,2
承認,2,2
攻撃,2,2
確保,2,2
有罪,2,2
共通,2,2
投票,2,2
行使,2,2
報酬,2,2
有利,2,2
求め,2,2
協力,2,2
なる,2,2
単独,2,2
諸国,2,2
あり,2,2
友好,2,2
文化,2,2
定期,2,2
選択,2,2
理解,2,2
国内,2,2
中,1,2
から,2,2
時,1,2
並び,2,2
表明,2,2
正当,2,2
福祉,2,2
独立,2,2
所,1,2
応じ,2,2
総会,2,2
利益,2,2
否,1,2
秩序,2,2
管轄,2,2
初等,2,2
努力,2,2
統治,2,2
属する,3,2
思想,2,2
与え,2,2
実現,2,2
行わ,2,2
失業,2,2
もっぱら,4,2
共同,2,2
誓約,2,2
成年,2,2
子,1,2
同権,2,1
あらゆる,4,1
最高,2,1
価値,2,1
道徳,2,1
採択,2,1
死亡,2,1
もっとも,4,1
胞,1,1
ここ,2,1
認める,3,1
国民,2,1
援助,2,1
定め,2,1
憲章,2,1
めら,2,1
拷問,2,1
侵害,2,1
場所,2,1
休暇,2,1
願望,2,1
決意,2,1
与える,3,1
信用,2,1
種類,2,1
童,1,1
当事,2,1
文学,2,1
行動,2,1
皮膚,2,1
技術,2,1
当,1,1
居住,2,1
専制,2,1
権力,2,1
あっ,2,1
向上,2,1
権限,2,1
り,1,1
寛容,2,1
教科,2,1
作品,2,1
衣食住,3,1
おり,2,1
大きな,3,1
余暇,2,1
行う,2,1
合意,2,1
行事,2,1
無罪,2,1
公務,2,1
不可抗,3,1
こ,1,1
開放,2,1
少なく,3,1
目,1,1
同,1,1
規定,2,1
解消,2,1
強制,2,1
特別,2,1
欠く,2,1
実行,2,1
帰る,2,1
解釈,2,1
ひと,2,1
性,1,1
罰,1,1
事由,2,1
表現,2,1
禁止,2,1
内,1,1
機関,2,1
いかな,3,1
重要,2,1
恐怖,2,1
経済,2,1
反し,2,1
主権,2,1
保持,2,1
回,1,1
参加,2,1
息,1,1
際し,2,1
件,1,1
なかっ,3,1
違反,2,1
前文,2,1
一層,2,1
残虐,2,1
課せ,2,1
維持,2,1
無償,2,1
かかわり,4,1
移転,2,1
欠乏,2,1
念頭,2,1
越える,3,1
ひとしく,4,1
民,1,1
しく,2,1
人道,2,1
障,1,1
作為,2,1
生ずる,3,1
無視,2,1
真正,2,1
加入,2,1
伝える,3,1
親,1,1
授け,2,1
同じ,2,1
譲る,2,1
成立,2,1
救済,2,1
よ,1,1
去り,2,1
母,1,1
もっ,2,1
拘禁,2,1
苦役,2,1
つくる,3,1
け,1,1
軽侮,2,1
儀式,2,1
段階,2,1
名誉,2,1
理性,2,1
自治,2,1
指導,2,1
出身,2,1
取扱,2,1
定,1,1
利用,2,1
審理,2,1
合理,2,1
再,1,1
員,1,1
言論,2,1
国家,2,1
医療,2,1
門地,2,1
迫害,2,1
適用,2,1
措置,2,1
べ,1,1
避難,2,1
有し,2,1
疾病,2,1
会,1,1
高等,2,1
公布,2,1
置き,2,1
有給,2,1
人々,2,1
うち,2,1
身体,2,1
認,1,1
反逆,2,1
べき,2,1
補充,2,1
為又,2,1
効果,2,1
公,1,1
そ,1,1
通信,2,1
創作,2,1
決,1,1
芸術,2,1
つく,2,1
さらに,3,1
立証,2,1
び,1,1
弁護,2,1
正義,2,1
情報,2,1
境界,2,1
ては,2,1
相互,2,1
安全,2,1
両,1,1
手続,2,1
配偶,2,1
布教,2,1
組合,2,1
言語,2,1
刑事,2,1
自然,2,1
そそのかす,5,1
原則,2,1
重い,2,1
優先,2,1
享,1,1
物質,2,1
野蛮,2,1
遵守,2,1
護,1,1
要求,2,1
増進,2,1
可能,2,1
色,1,1
心身,2,1
休,1,1
生まれ,3,1
