Token,Length,Frequency
i,1,78
do,2,42
prawo,5,35
w,1,32
ma,2,27
Artykuł,7,26
Każdy,5,25
człowiek,8,24
lub,3,21
na,2,15
z,1,14
jego,4,13
wolności,8,12
jest,4,11
się,3,11
praw,4,10
oraz,4,9
że,2,8
nie,3,8
wolno,5,8
Nie,3,8
prawa,5,7
o,1,7
ochrony,7,7
ZWAŻYWSZY,9,7
to,2,7
bez,3,6
człowieka,9,6
aby,3,5
względu,7,5
wyznania,8,5
za,2,5
kraju,5,5
ani,3,5
pracy,5,5
wszystkich,10,5
od,2,5
nikogo,6,5
dla,3,4
Państwa,7,4
mają,4,4
konieczne,9,4
samowolnie,10,4
godności,8,4
przestępstwa,12,4
prawnej,7,4
swych,5,4
Człowieka,9,3
obywatelstwa,12,3
Wszyscy,7,3
ludzkiej,8,3
ludzie,6,3
wszystkie,9,3
jakiekolwiek,12,3
świata,6,3
jednakowej,10,3
przeciw,7,3
innymi,6,3
poprzez,7,3
przed,5,3
być,3,3
Deklarację,10,3
przez,5,3
są,2,3
jako,4,3
osobowości,10,3
życia,5,3
podstawowych,12,3
sposób,6,3
społeczeństwa,13,3
swej,4,3
Deklaracji,10,3
narodów,7,3
posiadania,10,3
włączając,9,3
swobodnego,10,3
mu,2,3
równości,8,3
Praw,4,3
zarówno,7,3
różnice,7,3
swobodę,7,3
jak,3,3
swobodnie,9,2
wespół,6,2
swego,5,2
wśród,5,2
razie,5,2
społecznych,11,2
poszanowania,12,2
różnicy,7,2
małżeństwa,10,2
po,2,2
zapewniającej,13,2
między,6,2
zawodowych,10,2
opinii,6,2
przestrzeganie,14,2
pozbawiać,9,2
zawarte,7,2
ich,3,2
powszechne,10,2
Narodów,7,2
pomocy,6,2
warunków,8,2
jakikolwiek,11,2
ludzkości,9,2
może,4,2
innych,6,2
czynić,6,2
podczas,7,2
rasy,4,2
niezależny,10,2
wyboru,6,2
ONZ,3,2
narodowości,11,2
Nauka,5,2
korzystać,9,2
zależności,10,2
tych,4,2
sumieniem,9,2
własności,9,2
niego,5,2
rozwoju,7,2
godność,7,2
wiary,5,2
można,5,2
środków,7,2
zasadzie,8,2
publicznie,10,2
nauczania,9,2
niniejszej,10,2
chwili,6,2
cel,3,2
niniejszą,9,2
środkami,8,2
bądź,4,2
Powszechną,10,2
ta,2,2
Zjednoczonych,13,2
władzy,6,2
wobec,5,2
zgodnie,7,2
kraj,4,2
każdego,7,2
swym,4,2
zmiany,6,2
też,3,2
którym,6,2
społecznego,11,2
oni,3,2
swoją,5,2
społecznej,10,2
związków,8,2
rodziny,7,2
popełnienia,11,2
czy,3,2
obejmuje,8,2
równi,5,2
powodu,6,2
wolność,7,2
podstawą,8,2
uznanie,7,2
Nikogo,6,2
poglądów,8,2
popełnienie,11,2
we,2,2
kompetentnych,13,1
ostateczności,13,1
organy,6,1
bezstronny,10,1
równe,5,1
Państw,6,1
współpracy,10,1
wybranych,9,1
wyraziły,8,1
publicznej,10,1
pokoju,6,1
inny,4,1
traktować,9,1
uwłaczaniu,10,1
systemowi,9,1
doprowadzony,12,1
buntu,5,1
takiego,7,1
braterstwa,10,1
lat,3,1
porządkuje,10,1
ubezpieczenia,13,1
znaczenie,9,1
domowe,6,1
ludźmi,6,1
zadowalającego,14,1
skazany,7,1
słowa,5,1
Wszystkie,9,1
jedno,5,1
Uroczyście,10,1
międzynarodowego,16,1
prywatnie,9,1
zbiera,6,1
spokojnego,10,1
stosunków,9,1
równą,5,1
narażeniem,10,1
bezpieczeństwa,14,1
wdowieństwa,11,1
dyskryminacją,13,1
okresowe,8,1
stanu,5,1
opiekj,6,1
korzystają,10,1
DEKLARACJA,10,1
