Token,Length,Frequency
le,2,176
ya,2,94
go,2,91
e,1,74
mo,2,45
o,1,44
a,1,41
na,2,33
ka,2,32
kgotsa,6,28
mongwe,6,27
di,2,25
tsa,3,25
Aretikele,9,25
tshwanelo,9,24
Mongwe,6,24
ba,2,24
tse,3,22
gagwe,5,15
nngwe,5,15
sa,2,14
ditshwanelo,11,13
wa,2,13
yo,2,13
tla,3,13
ga,2,12
kgololosego,11,11
gore,4,10
ntle,4,9
jalo,4,9
kgatlhanong,11,9
jwa,3,9
Go,2,8
ope,3,8
fa,2,8
tetla,5,8
botho,5,8
Ga,2,8
ntse,4,7
molao,5,7
kwa,3,7
ke,2,7
motho,5,6
boagi,5,6
jaaka,5,6
batho,5,6
mme,3,6
tumelo,6,5
bodithabathaba,16,5
botlhokwa,9,5
nna,3,5
baagi,5,5
leng,4,5
la,2,5
botlhe,6,5
epe,3,4
tsweletsa,9,4
se,2,4
tlhotlhololo,12,4
tshireletso,11,4
maikutlo,8,4
neng,4,4
gaabo,5,4
tshireletsego,13,4
dirwa,5,4
motheo,6,4
botshelo,8,4
gololosegileng,14,4
nako,4,4
lekanang,8,4
molato,6,4
thoto,5,3
mokgwa,6,3
tiro,4,3
bosethaba,10,3
tlhago,6,3
tlolomolao,10,3
lelapa,6,3
Dithaba,8,3
ntseng,6,3
fitlhelela,10,3
naga,4,3
lebaka,6,3
tletseng,8,3
Kopano,6,3
nageng,6,3
Maipolelo,9,3
lekalekanang,12,3
puso,4,3
dikgololosego,13,3
tshegetso,9,3
ntlha,5,3
tsotlhe,7,3
seng,4,3
bodumedi,8,3
bongwe,6,3
dingwe,6,3
seriti,6,3
tlotlo,6,3
akaretsa,8,3
bonwang,7,2
boemo,5,2
kgolo,5,2
leloko,6,2
ditirelo,8,2
Ba,2,2
bangwe,6,2
bathong,7,2
tswa,4,2
A,1,2
mabapi,6,2
mothale,7,2
seriting,8,2
bong,4,2
sephiring,9,2
lona,4,2
kamogelo,8,2
kotlhao,7,2
pharologanyo,12,2
kgotlakatlholo,14,2
ne,2,2
Dinaga,6,2
dira,4,2
nosi,4,2
phitlhelelo,11,2
sepolitiki,10,2
taolong,7,2
gongwe,6,2
batla,5,2
pele,4,2
tshwarwang,10,2
tiragatso,9,2
akarediwa,9,2
ona,3,2
siameng,7,2
fetola,6,2
Botlhe,6,2
tsaya,5,2
bona,4,2
amologanngweng,14,2
bo,2,2
maleba,6,2
mabakeng,8,2
loago,5,2
tekatekano,10,2
maemo,5,2
Tshwanelo,9,2
tirisanommogo,13,2
kakanyo,7,2
sengwe,6,2
kagiso,6,2
tsona,5,2
mokgatlho,9,2
mogopolo,8,2
jo,2,2
basadi,6,2
yona,4,2
molaong,7,2
esele,5,2
botoka,6,2
itsetsepela,11,1
botlhankeng,11,1
bothapi,7,1
itlhophetsweng,14,1
anameng,7,1
tlhagisiwa,10,1
setlhopha,9,1
mekgweng,8,1
sunngwang,9,1
makgoba,7,1
me,2,1
ditokololo,10,1
kgaratlhelang,13,1
dithulaganyo,12,1
sethabeng,10,1
tumedi,6,1
bokgobeng,9,1
bolaodi,7,1
setso,5,1
abilwe,6,1
kobamelo,8,1
bagagapa,8,1
JALO,4,1
akanya,6,1
moloatheo,9,1
lekana,6,1
maikaelelo,10,1
BOTHO,5,1
ikhutsa,7,1
dikakanyo,9,1
bongw,5,1
bopa,4,1
badiri,6,1
ditsholofetso,13,1
thuto,5,1
itumelela,9,1
lekalekana,10,1
tsamaisiwang,12,1
melelwaneng,11,1
duelelwang,10,1
boloka,6,1
kgaolo,6,1
bosiamisi,9,1
Ditokololo,10,1
lebakeng,8,1
iletswa,7,1
Kokoano,7,1
metheo,6,1
botlhologadi,12,1
Maipolelong,11,1
nko,3,1
ikemetse,8,1
motheong,8,1
Naga,4,1
bojotlhe,8,1
JAANONG,7,1
YA,2,1
botlhokatiro,12,1
abetswe,7,1
sebeding,8,1
tlhatlhelwa,11,1
motlheng,8,1
tsenwa,6,1
ineetse,7,1
bokgoba,7,1
fela,4,1
phuthologa,10,1
boitekanelo,11,1
tsia,4,1
maineelo,8,1
fetisa,6,1
banna,5,1
eletseng,8,1
mmusong,7,1
E,1,1
nyenyefatsang,13,1
ditshekiso,10,1
tsela,5,1
lekaneng,8,1
dikgato,7,1
tlhagiso,8,1
dikgaolo,8,1
dirwang,7,1
malatsi,7,1
tokololo,8,1
ditiragalo,10,1
tshunyonko,10,1
direlana,8,1
dikgololosegong,15,1
tswelelopelo,12,1
Puso,4,1
ikemiseditse,12,1
ekonomi,7,1
bosiami,7,1
dithabathabeng,16,1
Lokwalo,7,1
bonno,5,1
kgatelopele,11,1
mmala,5,1
ipuse,5,1
tuelo,5,1
Maloko,6,1
nang,4,1
Gape,4,1
bosenyi,7,1
makwalo,7,1
nyala,5,1
itumelelang,11,1
gmaemo,6,1
aga,3,1
tshwanetse,10,1
tswhanelo,9,1
tiiseditse,10,1
bogisiwang,10,1
temogo,6,1
tlolamolao,10,1
bobedi,6,1
tswang,6,1
ilediwa,7,1
tlhaloganyesega,15,1
dikeletso,9,1
yotlhe,6,1
lefatshe,8,1
tlhakanetse,11,1
a.,2,1
lenyalo,7,1
pholo,5,1
patelesege,10,1
thotloetso,10,1
thlotlhomiseng,14,1
matshelong,10,1
Ditshwanelo,11,1
tekanyetso,10,1
tshedimosetso,13,1
kgathalesege,12,1
bokaulengwe,11,1
tsetswe,7,1
TSA,3,1
metswedi,8,1
tshwarwa,8,1
khunologo,9,1
dikgalologano,13,1
nae,3,1
sephiri,7,1
tsewa,5,1
netefaletsang,13,1
gololosegile,12,1
boutu,5,1
bolalome,8,1
lekanyeditsweng,15,1
nyalana,7,1
amogelwa,8,1
patelediwang,12,1
mekgwa,6,1
puo,3,1
botsalo,7,1
melelwane,9,1
itlhopheleng,12,1
thata,5,1
tlhaselo,8,1
seabe,5,1
tlhotlhololeng,14,1
melemo,6,1
dirang,6,1
bofelo,6,1
lo,2,1
losika,6,1
ikemetseng,10,1
semorafe,8,1
phatlalalong,12,1
tshwaneleng,11,1
sepolotiki,10,1
lenyalong,9,1
bua,3,1
nyalanong,9,1
diaparo,7,1
sireletsa,9,1
MAIPOLELO,9,1
DITSHWANELO,11,1
lwa,3,1
tshwanetseng,12,1
tsunyonko,9,1
ikaelelang,10,1
tlhotse,7,1
KGOELETSO,9,1
itlhokomolosa,13,1
bouta,5,1
melato,6,1
sirelediwe,10,1
bothati,7,1
okediwa,7,1
Batho,5,1
lotso,5,1
ruta,4,1
tlamelo,7,1
tekanyetsong,12,1
kgathalelwe,11,1
tsholwa,7,1
moputso,7,1
mowa,4,1
sekisiwa,8,1
ntlong,6,1
dikgatlhego,11,1
itshireletsa,12,1
tlhagisitsweng,14,1
sotlwa,6,1
tlhokega,8,1
selekanyo,9,1
bongwefela,10,1
sirelediwa,10,1
boona,5,1
botsofe,7,1
thulaganyo,10,1
gare,4,1
lelapeng,8,1
boammaaruri,11,1
bokgoni,7,1
tsheko,6,1
tseelwang,9,1
gona,4,1
utlwalang,9,1
kgolafalo,9,1
ditirong,8,1
goeletsa,8,1
serodumo,8,1
Kakaretso,9,1
Botho,5,1
boifeng,7,1
ditiro,6,1
ema,3,1
Bosadi,6,1
maiteko,7,1
dijo,4,1
tsweletso,9,1
setho,5,1
diragadiwa,10,1
kobiwa,6,1
dithabeng,10,1
tlogelo,7,1
sakgaditseng,13,1
PULAMADIBOGO,12,1
bolwetse,8,1
ntlo,4,1
godimo,6,1
dingwaga,8,1
tlhamalalo,10,1
botshabi,8,1
kgodiso,7,1
bokete,6,1
Le,2,1
gale,4,1
dinageng,8,1
ditlamego,9,1
lefatseng,9,1
boditshabatshaba,16,1
thapiwe,7,1
ODIT·HABAT·ABA,14,1
bonwa,5,1
bophasalatsi,12,1
mmogo,5,1
tshimologong,12,1
ditlhopho,9,1
boithatelo,10,1
tshiamelo,9,1
kgololosegong,13,1
neilweng,8,1
ditshwanelong,13,1
iletswang,9,1
KA,2,1
baemedi,7,1
Bodithabathaba,16,1
tlhoka,6,1
boela,5,1
kgwebo,6,1
kgobokanong,11,1
Lelapa,6,1
motsamao,8,1
kgolagano,9,1
dithaba,8,1
meono,5,1
sethwe,6,1
ditlhaselo,10,1
phatlalatseng,13,1
kokoano,7,1
amogela,7,1
tiragatsong,11,1
tekatekanong,12,1
boipuso,7,1
Banna,5,1
nyatsa,6,1
bomorafe,8,1
kgatelelo,9,1
goeleditswe,11,1
diura,5,1
kgotlatshekelong,16,1
welang,6,1
Thato,5,1
otlhaiwa,8,1
botsalano,9,1
