Token,Length,Frequency
ve,2,84
bir,3,30
Madde,5,29
veya,4,27
vardır,6,18
hakkı,5,17
Her,3,15
haizdir,7,13
1.,2,13
2.,2,13
her,3,11
hakkını,7,11
olarak,6,10
şahsın,6,9
için,4,9
karşı,5,9
Hiç,3,8
ile,3,8
Herkes,6,8
eşit,4,8
bu,2,8
kimse,5,8
sosyal,6,7
bütün,5,7
tam,3,6
Herkesin,8,6
haklarının,10,6
herhangi,8,5
din,3,5
serbestçe,9,5
insan,5,5
Birleşmiş,9,5
türlü,5,5
şahıs,5,5
milletlerarası,14,5
milli,5,5
3.,2,4
açık,4,4
olan,4,4
keyfi,5,4
ilan,4,4
işbu,4,4
ana,3,4
etmek,5,4
kamu,4,4
öğretim,7,4
daha,4,4
Milletler,9,4
hak,3,4
hakkına,7,4
şekilde,7,4
haysiyet,8,3
içinde,6,3
olmak,5,3
kendisine,9,3
aykırı,6,3
adil,4,3
erkek,5,3
eşitlikle,9,3
diğer,5,3
etmiş,5,3
tabi,4,3
hiçbir,6,3
ancak,5,3
olsun,5,3
şahsiyetinin,12,3
edilemez,8,3
mahrum,6,3
ferdin,6,3
olmasına,8,3
İnsan,5,3
istifade,8,3
hürriyetlerine,14,3
uyruğu,6,3
haklar,6,3
özel,4,3
bakımından,10,3
bulunmasına,11,3
tarafından,10,3
tanınması,9,3
yoluyla,7,3
göre,4,3
Bu,2,3
ırk,3,3
herkes,6,3
memleket,8,3
bulunan,7,2
mülteci,7,2
gerçekten,9,2
olmaksızın,10,2
yapılacak,9,2
başına,6,2
genel,5,2
fark,4,2
katılmak,8,2
haklarına,9,2
dışında,7,2
teşvik,6,2
son,3,2
siyasi,6,2
memleketin,10,2
devletlerin,11,2
bulunduğu,9,2
hayat,5,2
hürriyetlerin,13,2
Bütün,5,2
güvenliğe,9,2
çalışma,7,2
esaslı,6,2
surette,7,2
görmek,6,2
Öğretim,7,2
kadın,5,2
temel,5,2
insanlık,8,2
hürriyetine,11,2
saygı,5,2
olmalarına,10,2
suç,3,2
iradesi,7,2
içerir,6,2
ücrete,6,2
muamelelere,11,2
İnsanlık,8,2
arasında,8,2
korunmaya,9,2
ahalisi,7,2
aynı,4,2
işbirliği,9,2
Ana,3,2
gayret,6,2
altında,7,2
uygun,5,2
ayırdedici,10,2
sırada,6,2
hakların,8,2
amacıyla,8,2
gerekli,7,2
fikir,5,2
tecavüzlere,11,2
gerek,5,2
edecek,6,2
kurmaya,7,2
cemiyetin,9,2
hürriyetlerinin,15,2
kanun,5,2
evlilik,7,2
gözetilmeksizin,15,2
memleketi,9,2
kültürel,8,2
derneğe,7,2
gerekse,7,2
eğitim,6,2
ailesi,6,2
zaruret,7,2
sağlayacak,10,2
bunlara,7,2
Beyannamede,11,2
kölelik,7,2
gelişmesi,9,2
sürülemez,9,2
tek,3,2
hakları,7,2
milletler,9,2
başka,5,2
bağımsız,8,2
serbest,7,2
elverişli,9,2
hürriyet,8,2
hukuk,5,2
dahil,5,2
ötürü,5,2
uyrukluk,8,2
değiştirmek,11,2
devletin,8,2
zulüm,5,2
sınırları,9,2
mal,3,2
Yaşamak,7,1
izhar,5,1
da,2,1
tatbikat,8,1
cereyan,7,1
yardım,6,1
görülmesinin,12,1
terketmek,9,1
esasıdır,8,1
menşe,5,1
yasaktır,8,1
maruz,5,1
tatbikini,9,1
dünyanın,8,1
Uluslararasında,15,1
Teknik,6,1
görülmesi,9,1
liyakatlerine,13,1
verilemez,9,1
menfaatlerin,12,1
yüksek,6,1
hizmetlerine,12,1
barışın,7,1
şiddetli,8,1
cürüme,6,1
sair,4,1
idamesi,7,1
süresince,9,1
bizzat,6,1
hiç,3,1
memleketlerden,14,1
dünyaca,7,1
işsizlikten,11,1
söz,3,1
müstenit,8,1
iştirak,7,1
derpiş,6,1
vahşiliklere,12,1
vesayet,7,1
köle,4,1
Önsöz,5,1
devir,5,1
tespitinde,10,1
açıklamak,9,1
yaşayış,7,1
gittikçe,8,1
evlenme,7,1
dostluğu,8,1
vicdanını,9,1
mahkum,6,1
Evrensel,8,1
sağlamaya,9,1
sebep,5,1
kışkırtmaya,11,1
mecburidir,10,1
çocuk,5,1
herkese,7,1
etmez,5,1
daima,5,1
kendi,5,1
vicdana,7,1
sahiptirler,11,1
ilk,3,1
haysiyeti,9,1
refahın,7,1
sahasındaki,11,1
ihtimam,7,1
çare,4,1
tanınmaması,11,1
vasıta,6,1
öncelikle,9,1
önünde,6,1
mesken,6,1
imanlarını,10,1
tanınan,7,1
insanların,10,1
hürriyetini,11,1
üyelerinde,10,1
kimsenin,8,1
usul,4,1
ibadet,6,1
irade,5,1
idaresi,7,1
müstakbel,9,1
geliştirmeye,12,1
derece,6,1
kayıtlamasına,13,1
geliştirmelidir,15,1
uygulanabilecek,15,1
edebilmelidir,13,1
düzeninin,9,1
sınırlandırılmasına,19,1
hakkıdır,8,1
kaynaklarıyla,13,1
ilerlemeyi,10,1
kovuşturmalar,13,1
mevzubahis,10,1
hor,3,1
katılmaya,9,1
ileri,5,1
bunların,8,1
getirilmesi,11,1
Bir,3,1
doğsunlar,9,1
Milletlerin,11,1
sağlanmış,9,1
faaliyetlere,12,1
kullanılmasında,15,1
mütevellit,10,1
korunmasi,9,1
uyrukluğunu,11,1
kanaat,6,1
makul,5,1
dehşetten,9,1
evliliğin,9,1
kalmaması,9,1
sakatlık,8,1
ederek,6,1
öğrenim,7,1
mensup,6,1
Halkın,6,1
bulunmalarına,13,1
şartlarına,10,1
otoritesinin,12,1
eğlenmeye,9,1
yarattığı,9,1
kabulü,6,1
evlenmek,8,1
seçimlerle,10,1
giyim,5,1
kendine,7,1
prensip,7,1
akdi,4,1
konusunda,9,1
kurulması,9,1
Beyannamesini,13,1
cezadan,7,1
ifade,5,1
ailesine,8,1
adi,3,1
çocuklarına,11,1
saygıyı,7,1
amaçları,8,1
tekmil,6,1
gösterilmesinin,15,1
doğruya,7,1
taahhüdün,9,1
kanaatini,9,1
evrensel,8,1
tabii,5,1
muamele,7,1
aramak,6,1
haklardan,9,1
memleketler,11,1
baskıya,7,1
çağına,6,1
tatillere,9,1
mesleki,7,1
ahlâkın,7,1
altındaki,9,1
topluluğa,9,1
güzel,5,1
teşkilatı,9,1
halklarının,11,1
serbestisine,12,1
işlendiği,9,1
yiyecek,7,1
ermesinde,9,1
edilmesini,10,1
müracaat,8,1
hoşgörü,7,1
Beyannameye,11,1
rızasıyla,9,1
birlikte,8,1
yazışması,9,1
devletler,9,1
Kurulu,6,1
geniş,5,1
hususunun,9,1
İnsanin,7,1
suçun,5,1
manevi,6,1
dulluk,6,1
tutarak,7,1
etmenin,7,1
başkalarıyla,12,1
kurtulmuş,9,1
gizli,5,1
dürüst,6,1
olmalıdır,9,1
dostça,6,1
üye,3,1
mualeleye,9,1
topluluğunun,12,1
amaçlarına,10,1
ticareti,8,1
cinsiyet,8,1
devrelerde,10,1
Akıl,4,1
hakkında,8,1
edilmemek,9,1
parasızdır,10,1
hür,3,1
grupları,8,1
Öğrenim,7,1
talep,5,1
eşitliğine,10,1
kolaylaştırmaya,15,1
yapılır,7,1
etmelidirler,12,1
topluca,7,1
fikirleri,9,1
edebiyat,8,1
yukarıdaki,10,1
karışmalara,11,1
faydalanmak,11,1
fiilli,6,1
üyesi,5,1
iyi,3,1
Teşkilatı,9,1
isyana,6,1
edilir,6,1
olmaya,6,1
mahiyette,9,1
geçim,5,1
hürriyeti,9,1
seçmek,6,1
kısıtlamaya,11,1
kurmak,6,1
ayrılık,7,1
uyrukluğundan,13,1
çocuklar,8,1
fertleriyle,11,1
korumasından,12,1
ülkenin,7,1
etmeyen,7,1
olursa,6,1
içtimai,7,1
en,2,1
vicdan,6,1
sağlayan,8,1
değerine,8,1
eşittir,7,1
Hakları,7,1
aile,4,1
faydalanırlar,13,1
hakl,4,1
ücretli,7,1
ülkeler,7,1
işleri,6,1
doğuş,5,1
kendisi,7,1
ilişkiler,9,1
yerine,6,1
sağlığı,7,1
edebilir,8,1
yönetimine,10,1
insanın,7,1
Evlilik,7,1
sanatları,9,1
kanunun,7,1
bakım,5,1
dinlenmeye,10,1
gerekirse,9,1
kere,4,1
cemiyet,7,1
temeli,6,1
verecek,7,1
kulluk,6,1
beyan,5,1
gibi,4,1
ulaşılacak,10,1
hürriyetlerden,14,1
malümat,7,1
İlk,3,1
anlayış,7,1
barışının,9,1
kurma,5,1
Bundan,6,1
etmeli,6,1
topluluk,8,1
başkalarının,12,1
ceza,4,1
eşlerin,7,1
ülke,4,1
çalışmaya,9,1
zorlanamaz,10,1
mahkemelere,11,1
edilen,6,1
kuvvetlenmesini,15,1
şekliyle,8,1
sayılır,7,1
girme,5,1
öğretimden,10,1
dernek,6,1
korunmadan,10,1
vecibelerinin,13,1
sanık,5,1
bundan,6,1
suçlu,5,1
tutuklanamaz,12,1
vasıtasıyla,11,1
sahip,5,1
refahını,8,1
işlendikleri,12,1
mülk,4,1
yolundaki,9,1
bilim,5,1
işkenceye,9,1
dünyada,7,1
dolaşma,7,1
cezalara,8,1
işlemekten,10,1
kırıcı,6,1
demokratik,10,1
çalışan,7,1
netice,6,1
haklarıyla,10,1
tıbbi,5,1
adaletin,8,1
dinini,6,1
vasıtalarıyla,13,1
baba,4,1
sanat,5,1
haizdirler,10,1
karışma,7,1
işsizlik,8,1
muhtar,6,1
olduğu,6,1
karar,5,1
isnadın,7,1
sadece,6,1
eserlerinden,12,1
halklar,7,1
doğrudan,8,1
ilim,4,1
oy,2,1
