Language,Family,Lmin,L,Lr,η,Ω
Arabic,Austronesian,4.06069802731415,4.66691957511386,5.41793103448276,0.870102422370345,0.553340108442855 
Basque,N/D,5.76537216828483,6.74676375404524,7.98773006134969,0.854538913538808,0.558400746872067 
Bulgarian,Indo-European,2.82666080070388,3.57149142102943,6.17151607963247,0.791451096329146,0.777320524144133 
Chinese,Sino-Tibetan,1.01039732640179,1.01039732640179,1.05263157894737,1,1.00000000000001 
Estonian,Uralic,5.82879999999998,6.7048,8.43425076452599,0.869347333253785,0.663781787041605 
Finnish,Uralic,6.82659478885898,7.6774483378257,9.30059523809524,0.889174956114692,0.656081893910171 
German,Indo-European,5.17067669172931,6.28796992481205,8.5045871559633,0.822312567260548,0.664870054229411 
Indonesian,Austronesian,5.08218125960063,6.47004608294932,7.75204918032787,0.785493827160494,0.480174726032643 
Irish,Indo-European,3.80670731707316,4.86829268292679,6.85117056856187,0.781938877755514,0.651306230963856 
Japanese,Japonic,1.28860215053766,1.61677419354842,1.93617021276596,0.797020484171323,0.493223859926772 
Kannada,Dravian,6.92518703241898,7.80299251870323,8.32894736842105,0.887503994886551,0.374675673780435 
Korean,Koreanic,2.39759036144581,2.89156626506026,3.23877917414722,0.829166666666668,0.412764534958457 
Malay,Astronesian,5.12888198757764,6.4860248447205,7.68831168831169,0.790758917883648,0.469747945507692 
Polish,Indo-European,5.18365817091455,6.25862068965517,8.0442748091603,0.828242903341718,0.624220000552106 
Setswana,Atlantic-Congo,3.46455331412103,4.59077809798271,7.31154684095861,0.754676710608913,0.707245469480296 
Spanish,Indo-European,4.02052597819116,5.18345093008338,7.59528487229862,0.775646578393767,0.674684367158538 
Tagalog,Afro-Asiatic,4.22929092113984,5.42279655400929,7.98454746136865,0.779909568617867,0.68217733726476 
Turkish,Turkic,5.50229007633587,6.40000000000001,7.63074712643678,0.859732824427478,0.578234419331327 
Yoruba,Atlantic-Congo,2.72720946416143,4.02922755741126,4.92727272727273,0.676856649395508,0.408190612024248
