",""Language"",""Lmin"",""Lr"",""L"""
"1,""arabic"",4.06069802731411,5.41793103448276,4.66691957511381"
"2,""basque"",5.76537216828479,7.98773006134969,6.74676375404531"
"3,""bulgarian"",2.82666080070392,6.17151607963247,3.57149142102948"
"4,""chinese"",1.01039732640178,1.05263157894737,1.01039732640178"
"5,""estonian"",5.8288,8.43425076452599,6.7048"
"6,""finnish"",6.82659478885894,9.30059523809524,7.6774483378257"
"7,""german"",5.17067669172932,8.5045871559633,6.28796992481203"
"8,""indonesian"",5.08218125960061,7.75204918032787,6.47004608294931"
"9,""irish"",3.80670731707317,6.85117056856187,4.86829268292683"
"10,""japanese"",1.28860215053763,1.93617021276596,1.61677419354839"
"11,""kannada"",6.92518703241895,8.32894736842105,7.80299251870324"
"12,""korean"",2.39759036144578,3.23877917414722,2.89156626506024"
"13,""malay"",5.12888198757764,7.68831168831169,6.4860248447205"
"14,""polish"",5.18365817091454,8.0442748091603,6.25862068965517"
"15,""setswana"",3.46455331412104,7.31154684095861,4.59077809798271"
"16,""slovak"",4.67382271468144,7.23140495867769,5.65235457063712"
"17,""spanish"",4.02052597819115,7.59528487229862,5.18345093008339"
"18,""tagalog"",4.22929092113983,7.98454746136865,5.42279655400928"
"19,""turkish"",5.50229007633588,7.63074712643678,6.4"
"20,""yoruba"",2.72720946416145,4.92727272727273,4.02922755741127"
