Language,Family,Tokens,Types,Tau,p-value,Corrected p-value
Arabic,Austronesian,1318,725,-0.20336630848529,1.13198182292661e-10,1.01878364063394e-09 
Basque,N/D,1236,652,-0.242119838328146,5.05718722632304e-14,8.09149956211687e-13 
Bulgarian,Indo-European,2273,653,-0.228962458481892,3.46117419248638e-13,4.49952645023229e-12 
Chinese,Sino-Tibetan,2693,532,-0.188993878550928,8.07476679811165e-07,4.84486007886699e-06 
Estonian,Uralic,1250,654,-0.236999026365069,1.56461640267173e-13,2.19046296374042e-12 
Finnish,Uralic,1113,672,-0.208108700930187,8.16693545578422e-11,8.16693545578422e-10 
German,Indo-European,1330,545,-0.302780542893101,1.29716993973837e-18,2.59433987947675e-17 
Indonesian,Austronesian,1302,488,-0.159232596555109,1.11069347127982e-05,3.33208041383946e-05 
Irish,Indo-European,1640,598,-0.267858471854652,5.15506390762682e-16,9.79462142449097e-15 
Japanese,Japonic,2325,517,-0.100945462242596,0.0100310638289133,0.0200621276578267 
Kannada,Dravian,401,304,-0.0786660966435737,0.0981374402517598,0.0981374402517598 
Korean,Koreanic,996,557,-0.175639593373883,2.84282420634874e-06,1.1371296825395e-05 
Malay,Astronesian,1288,462,-0.176522497018757,2.16474842172767e-06,1.08237421086384e-05 
Polish,Indo-European,1334,655,-0.238443202725748,7.45534783634379e-14,1.11830217545157e-12 
Setswana,Atlantic-Congo,1735,459,-0.298125254248464,1.001010702875e-15,1.80181926517501e-14 
Slovak,Indo-European,1444,726,-0.234576133506941,1.52751483362953e-14,2.59677521717019e-13 
Spanish,Indo-European,1559,509,-0.253971492007685,8.67918813658305e-13,1.04150257638997e-11 
Tagalog,Afro-Asiatic,1509,453,-0.214444067729338,1.24520124085145e-08,9.96160992681164e-08 
Turkish,Turkic,1310,696,-0.207597324950322,2.7013228082015e-11,2.97145508902165e-10 
Yoruba,Atlantic-Congo,1437,385,-0.22146652033505,4.38715589691265e-08,3.07100912783885e-07
