Language,Family,Tokens,Types,Tau,p-value,Corrected p-value
Arabic,Austronesian,1318,725,-0.203,1.13e-10,1.02e-09 
Basque,N/D,1236,652,-0.242,5.06e-14,8.09e-13 
Bulgarian,Indo-European,2273,653,-0.229,3.46e-13,4.5e-12 
Chinese,Sino-Tibetan,2693,532,-0.189,8.07e-07,4.84e-06 
Estonian,Uralic,1250,654,-0.237,1.56e-13,2.19e-12 
Finnish,Uralic,1113,672,-0.208,8.17e-11,8.17e-10 
German,Indo-European,1330,545,-0.303,1.3e-18,2.59e-17 
Indonesian,Austronesian,1302,488,-0.159,1.11e-05,3.33e-05 
Irish,Indo-European,1640,598,-0.268,5.16e-16,9.79e-15 
Japanese,Japonic,2325,517,-0.101,1e-02,2.01e-02 
Kannada,Dravian,401,304,-0.0787,9.81e-02,9.81e-02 
Korean,Koreanic,996,557,-0.176,2.84e-06,1.14e-05 
Malay,Astronesian,1288,462,-0.177,2.16e-06,1.08e-05 
Polish,Indo-European,1334,655,-0.238,7.46e-14,1.12e-12 
Setswana,Atlantic-Congo,1735,459,-0.298,1e-15,1.8e-14 
Slovak,Indo-European,1444,726,-0.235,1.53e-14,2.6e-13 
Spanish,Indo-European,1559,509,-0.254,8.68e-13,1.04e-11 
Tagalog,Afro-Asiatic,1509,453,-0.214,1.25e-08,9.96e-08 
Turkish,Turkic,1310,696,-0.208,2.7e-11,2.97e-10 
Yoruba,Atlantic-Congo,1437,385,-0.221,4.39e-08,3.07e-07 
